Station	StationName	Site	OA	lat	long
I00	Pacific	S00	OA001	46.96	-5.351666667
I00	Pacific	S00	OA002	45.40375	-9.60295
I00	Pacific	S00	OA003	43.88166667	-12.435
I00	Pacific	S00	OA004	42.72166667	-14.80666667
I00	Pacific	S00	OA005	40.91298333	-17.64458333
I00	Pacific	S00	OA006	37.92416667	-23.23175
I00	Pacific	S00	OA007	36.27346667	-27.21743333
I00	Pacific	S00	OA008	36.2336	-30.27091667
I00	Pacific	S00	OA009	34.94133333	-32.22716667
I00	Pacific	S00	OA010	33.58416667	-34.80198333
I00	Pacific	S00	OA011	33.542	-37.52983333
I00	Pacific	S00	OA012	31.83433333	-39.20566667
I00	Pacific	S00	OA013	29.52466667	-44.87783333
I00	Pacific	S00	OA014	28.17083333	-47.125
I00	Pacific	S00	OA015	26.694	-49.18083333
I00	Pacific	S00	OA016	26.11033333	-51.75883333
I00	Pacific	S00	OA017	25.4802	-54.29878333
I00	Pacific	S00	OA018	25.60033333	-57.07666667
I00	Pacific	S00	OA019	25.89655	-62.04311667
I00	Pacific	S00	OA020	25.79503333	-64.5323
I00	Pacific	S00	OA021	25.80805	-67.16175
I00	Pacific	S00	OA022	25.93716667	-69.779
I00	Pacific	S00	OA023	25.88875	-72.31143333
I00	Pacific	S00	OA024	25.8835	-74.90316667
I00	Pacific	S00	OA025	25.83116667	-77.49916667
I00	Pacific	S00	OA026	25.871	-79.342
I00	Pacific	S00	OA027	24.26425	-81.25043333
I00	Pacific	S00	OA028	11.11335	-80.39808333
I00	Pacific	S00	OA031	-0.062133333	-84.62525
I00	Pacific	S00	OA032	-2.397633333	-86.16755
I00	Pacific	S00	OA033	-4.641683333	-87.94428333
I00	Pacific	S00	OA034	-9.175916667	-92.16553333
I00	Pacific	S00	OA035	-11.55633333	-94.40576667
I00	Pacific	S00	OA036	-13.74223333	-96.4034
I00	Pacific	S00	OA037	-15.6209	-98.26753333
I00	Pacific	S00	OA038	-20.40296667	-103.3129667
I00	Pacific	S00	OA039	-22.65226667	-105.2357167
I00	Pacific	S00	OA040	-24.09985	-107.41
I00	Pacific	S00	OA045	-25.69726667	-114.1520167
I00	Pacific	S00	OA046	-25.60976667	-116.7816167
I00	Pacific	S00	OA047	-25.15746667	-120.8322333
I00	Pacific	S00	OA051	-23.97863333	-128.389
I00	Pacific	S00	OA052	-23.68075	-130.3271167
I00	Pacific	S00	OA056	-21.77648333	-138.0908
I00	Pacific	S00	OA057	-20.97351667	-140.4335667
I00	Pacific	S00	OA058	-18.74226667	-146.6010167
