"Sample_label" "Expedition" "Station" "Date" "Latitude" "Longitude" "Layer" "Environmental_feature" "Depth" "Marine_biome" "Ocean_and_sea_region" "Biogeographical_province" "Temperature_median" "Nitrogen" "Ammonium_mean" "Nitrate_median" "Nitrate_mean" "Nitrite_median" "Nitrite_mean" "Nitrate_and_Nitrite_median" "Phosphate" "Silicate" "Iron_concentration_PISCES2" "Iron_concentration_ECCO2.DARWIN" "Iron_mean_5m" "Oxygen" "Salinity" "Sigma_theta" "Chlorophyll_a_concentration" "Chlorophyll_a_fluo" "Particulate_organic_carbon" "Particulate_inorganic_carbon" "Residence_time" "Conductivity" "PAR_1d_avg" "PAR_8d_avg" "PAR_30d_avg" "Season" "Season_phase" "Distance_to_coast" "Angular_scattering_coefficient" "Optical_backscattering_coefficient" "Backscattering_coefficient_particles" "Fluorescence" "Optical_beam_attenuation_coefficient" "Beam_attenuation_coefficient_particles" "Sunshine_duration" "Sea_ice_concentration_." "Sea_Ice_free_period" "Polar" "Okubo.Weiss_parameter" "Maximum_Lyapunov_exponent" "pH" "Total_Alkalinity" "Bicarbonate_ion" "Carbonate_ion" "Total_Carbon" "Aragonite_saturation_state" "Calcite_saturation_state" "Carbon_dioxide" "Carbon_dioxide_partial_pressure" "Mixed_layer_depth" "Brunt_Vaisala_maximum_depth" "Max_O2_depth" "Min_O2_depth" "Nitracline_depth" "Sea_surface_temperature_gradient" "Chlorophyll_c3" "Chlorophyll_c1_c2" "Chlorophyllide_a" "Peridinin" "Phaeophorbide_a" "X19.Butanoyloxyfucoxanthin" "Fucoxanthin" "Neoxanthin" "Prasinoxanthin" "Violaxanthin" "X19.Hexanoyloxyfucoxanthin" "Diadinoxanthin" "Alloxanthin" "Diatoxanthin" "Zeaxanthin" "Lutein" "Bacteriochlorophyll_a" "Divinyl_chlorophyll_b" "Chlorophyll_b" "Chlorophyll_b_plus_divinyl_chlorophyll_b" "Divinyl_chlorophyll_a" "Chlorophyll_a" "Chlorophyll_a_total" "Phaeophytin_a" "Carotene"
"100DCM1GGMM14" "100DCM" "Tara Oceans Expedition (2009-2013)" "TARA_100" "2011-04-15T19:38" -12.9723 -96.0122 "DCM" "[DCM] deep chlorophyll maximum layer (ENVO:01000326)" "50" "Trades Biome" "[SPO] South Pacific Ocean (MRGID:1910)" "[SPSG] South Pacific Subtropical Gyre Province. North and South (MRGID:21486)" 22.596675 NA 0.018424854 4.229206 9.24222072 0.1635 0.128016119 5.6545 0.7785 1.8815 0.065 NA 3.277e-06 216.67805 35.64227 24.5284 47.9246 0.258187 52.89086151 0.000295935 6 51.430264 NA 0.570258 0.412127 "autumn" "early" 1404.6916 0.000413 0.001199 0.002856 2.070398 0.138429 0.102186 709 0 365 "non polar" 0.013354 0.045278 NA 0.0061 0 0.0099 0.0096 0.002 0 NA NA 44 53 52 301 149 0.49273 0.0122 0.019 0 0.0093 0 0.0099 0.0096 0.0061 0 0.002 0.0322 0.0034 0 0 0.0521 0.0045 0.001 0 0.0732 0.0732 0.064 0.1541 0.2182 0.0026 0.0125
"102DCM1GGMM14" "102DCM" "Tara Oceans Expedition (2009-2013)" "TARA_102" "2011-04-22T19:20" -5.2692 -85.2121 "DCM" "[DCM] deep chlorophyll maximum layer (ENVO:01000326)" "40" "Trades Biome" "[SPO] South Pacific Ocean (MRGID:1910)" "[PEOD] Pacific Equatorial Divergence Province (MRGID:21489)" 19.781235 NA 0.034300595 18.72477 7.140994549 1.202 0.573159586 24.3645 1.8615 10.5045 0.057 NA 4.398e-06 104.9968 34.884385 24.729155 25.4127 0.365239 82.28937531 0.000298 0 47.575971 0.579377 0.524403 0.335133 "autumn" "middle" 444.5005 0.000456 0.001499 0.003152 2.896974 0.162552 0.129877 718 0 365 "non polar" 0.043188 0.012324 NA 0.0334 0 0.038 0.018 0.0123 0.0036 NA NA 34 44 14 238 48 1.8132 0.031 0.0435 0 0.0058 0 0.038 0.018 0.0334 0.0036 0.0123 0.0663 0.0044 0 0 0.0877 0.0084 0.0024 0.0531 0.195 0.2482 0.1185 0.3323 0.4508 0.0083 0.0341
"102SUR1GGMM14" "102SUR" "Tara Oceans Expedition (2009-2013)" "TARA_102" "2011-04-21T20:07" -5.2529 -85.1545 "SUR" "[SRF] surface water layer (ENVO:00010504)" "5" "Trades Biome" "[SPO] South Pacific Ocean (MRGID:1910)" "[PEOD] Pacific Equatorial Divergence Province (MRGID:21489)" 24.958885 NA 0.034300595 13.010708 7.140994549 0.3285 0.573159586 12.8225 1.02575 5.04425 0.073 0.0044 4.398e-06 204.421 34.764535 23.176695 35.1383 0.264409 85.90293503 0.000337211 0 52.714281 24.439054 24.141238 16.717895 "autumn" "early" 805.0024 0.000406 0.001162 0.002808 2.076027 0.140985 0.10772 718 0 365 "non polar" 0.043188 0.012324 7.905094 0.0104 0 0.00475 0.00655 0.0105 0 16.56381 585.365934 24 34 14 419 32 0.21865 0.01195 0.01435 0 0.0038 0 0.00475 0.00655 0.0104 0 0.0105 0.0318 0.00315 0 0.00095 0.0801 0.02775 0.00135 0 0.09665 0.09665 0.04415 0.1885 0.23265 0.00295 0.01295
"106DCM1GGMM14" "106DCM" "Tara Oceans Expedition (2009-2013)" "TARA_106" "2011-05-03T20:52" 0.0307 -84.612 "DCM" "[DCM] deep chlorophyll maximum layer (ENVO:01000326)" "40" "Coastal Biome" "[SPO] South Pacific Ocean (MRGID:1910)" "[CHIL] Chile-Peru Current Coastal Province (MRGID:21495)" 23.45048 NA 0.041996677 8.276054 5.375641187 0.317375 0.587957232 9.313125 0.776625 5.75275 0.253 NA 4.387e-06 165.2702 34.72394 23.595275 27.5361 0.243787 52.97846222 0.000134236 4.166667 51.116049 NA 0.707996 0.666752 "spring" "middle" 428.8911 0.000367 0.000887 0.002534 2.11443 0.112784 0.084303 727 0 365 "non polar" -0.04145 0.138825 NA 0.0065 0.0018 0.015 0.0141 0.00285 0.00055 NA NA 16 43 13 352 293 1.1459 0.0205 0.023 0 0.0066 0.0018 0.015 0.0141 0.0065 0.00055 0.00285 0.03695 0.00385 0 0.00015 0.03845 0.00325 7e-04 0.02495 0.0681 0.093 0.0604 0.16615 0.2265 0.0036 0.01385
"106SUR1GGMM14" "106SUR" "Tara Oceans Expedition (2009-2013)" "TARA_106" "2011-05-03T12:27" -0.0283 -84.5862 "SUR" "[SRF] surface water layer (ENVO:00010504)" "5" "Coastal Biome" "[SPO] South Pacific Ocean (MRGID:1910)" "[CHIL] Chile-Peru Current Coastal Province (MRGID:21495)" 25.702575 NA 0.041996677 6.047064 5.375641187 0.15125 0.587957232 5.556563 0.573125 3.595125 0.266 0.00439 4.387e-06 194.915 34.51722 22.76179 34.1044 0.217039 52.97491837 0.00013555 4.166667 53.149368 NA 26.265714 24.735592 "autumn" "middle" 412.6693 0.000367 0.000893 0.002537 1.88776 0.111847 0.083395 727 0 365 "non polar" -0.04145 0.138825 7.970073 0.0023 0 0.0044 0.006 0.0016 0 13.612483 486.311833 25 43 13 344 60 1.0233 0.0057 0.00815 0 0.00345 0 0.0044 0.006 0.0023 0 0.0016 0.01505 0.00325 0 8e-04 0.0499 0.00495 0.00065 0 0.028 0.028 0.03195 0.08175 0.11365 0.00165 0.00635
"109DCM1GGMM14" "109DCM" "Tara Oceans Expedition (2009-2013)" "TARA_109" "2011-05-13T20:14" 2.0218 -84.5652 "DCM" "[DCM] deep chlorophyll maximum layer (ENVO:01000326)" "40" "Coastal Biome" "[NPO] North Pacific Ocean (MRGID:1908)" "[CHIL] Chile-Peru Current Coastal Province (MRGID:21495)" 25.43204 NA 0.038657464 5.811374 3.423354744 0.13 0.411641767 5.427 0.56725 3.661 0.093 NA 4.994e-06 195.3433 34.55748 22.87711 33.7334 0.327472 NA NA 2.083333 52.937318 NA NA NA "spring" "middle" 514.7074 0.00039 0.001053 0.002697 2.013969 0.128233 0.100913 732 0 365 "non polar" -0.002594 0.005026 NA 0.0212 0 0.0239 0.0146 0.0088 0 NA NA 21 70 18 422 75 2.4614 0.0279 0.0399 0 0.0101 0 0.0239 0.0146 0.0212 0 0.0088 0.0777 0.006 0 0 0.0859 0.0083 0.0024 0.0195 0.1217 0.1422 0.1501 0.2785 0.4286 0.0049 0.0265
"109SUR1GGMM14" "109SUR" "Tara Oceans Expedition (2009-2013)" "TARA_109" "2011-05-12T14:00" 1.9928 -84.5766 "SUR" "[SRF] surface water layer (ENVO:00010504)" "5" "Coastal Biome" "[NPO] North Pacific Ocean (MRGID:1908)" "[CHIL] Chile-Peru Current Coastal Province (MRGID:21495)" 27.497475 NA 0.038657464 1.673601 3.423354744 0.0455 0.411641767 0.8935 0.2865 1.7085 0.073 0.00499 4.994e-06 199.6911 33.472445 21.408655 39.5787 0.272009 NA NA 2.083333 53.526114 NA NA NA "spring" "middle" 496.135 0.000402 0.00114 0.002774 1.900753 0.13885 0.111697 732 0 365 "non polar" -0.002594 0.005026 8.021784 0.005 0 0.00275 0.004 0.00545 0 10.944395 409.791925 15 59 13 395 63 1.716 0.0046 0.00965 0 0.0043 0 0.00275 0.004 0.005 0 0.00545 0.01525 0.0021 0 0.00045 0.09625 0.01125 0.0016 0.0058 0.03105 0.0368 0.06715 0.122 0.18915 0.00125 0.0101
"110SUR1GGMM14" "110SUR" "Tara Oceans Expedition (2009-2013)" "TARA_110" "2011-05-21T12:27" -2.0133 -84.589 "SUR" "[SRF] surface water layer (ENVO:00010504)" "5" "Trades Biome" "[SPO] South Pacific Ocean (MRGID:1910)" "[SPSG] South Pacific Subtropical Gyre Province. North and South (MRGID:21486)" 23.88816 NA 0.042527045 8.074076 6.029548923 0.31925 0.645360056 8.287 0.77275 3.8635 0.221 0.00549 5.493e-06 191.91255 35.012435 23.68419 33.1044 0.246175 67.01446152 0.00023864 0 51.931763 25.413264 25.347307 16.015291 "spring" "middle" 512.0231 0.000406 0.001155 0.002804 1.970432 0.144462 0.118655 721 0 365 "non polar" 0.032297 0.064745 7.484872 0 0 0.00855 0.0125 0.00155 0 50.225139 1724.757588 33 74 13 369 69 2.3345 0.0083 0.0117 0 0.0044 0 0.00855 0.0125 0 0 0.00155 0.02165 0.00395 0 5e-04 0.04595 0.0025 0.001 0 0.02465 0.02465 0.03465 0.0864 0.1211 0 0.0048
"111DCM2GGMM14" "111DCM" "Tara Oceans Expedition (2009-2013)" "TARA_111" "2011-05-31T20:28" -16.9587 -100.6751 "DCM" "[DCM] deep chlorophyll maximum layer (ENVO:01000326)" "90" "Trades Biome" "[SPO] South Pacific Ocean (MRGID:1910)" "[SPSG] South Pacific Subtropical Gyre Province. North and South (MRGID:21486)" 19.783275 NA 0.013075565 0.85366 7.843671242 0.203 0.043491448 1.2215 0.443 0.9285 0.013 NA 3.007e-06 208.54895 35.69581 25.354365 31.8491 0.207911 42.42976761 0.00022155 34.305556 48.582486 0.019494 0.026184 0.016604 "autumn" "late" 916.312 0.00032 0.000546 0.002207 2.047239 0.058143 0.036743 671 0 365 "non polar" -0.075767 0.018781 NA 0.0047 0 0.0141 0.0035 8e-04 0 NA NA 67 225 70 233 230 0.51854 0.015 0.0159 0 0.0055 0 0.0141 0.0035 0.0047 0 8e-04 0.0325 0.0021 0 0 0.0249 5e-04 0 0 0.0828 0.0869 0.0623 0.0843 0.1466 0 0.0117
"111SUR2GGMM14" "111SUR" "Tara Oceans Expedition (2009-2013)" "TARA_111" "2011-05-31T14:25" -16.9601 -100.6335 "SUR" "[SRF] surface water layer (ENVO:00010504)" "5" "Trades Biome" "[SPO] South Pacific Ocean (MRGID:1910)" "[SPSG] South Pacific Subtropical Gyre Province. North and South (MRGID:21486)" 22.78183 NA 0.013075565 3.149999 7.843671242 0.0415 0.043491448 2.676 0.5 1.0325 0.008 0.00301 3.007e-06 209.1003 35.98269 24.742485 40.0773 0.154999 43.12891006 0.000225242 34.305556 52.035722 15.111047 21.475296 15.496505 "autumn" "late" 1067.5202 0.000368 0.000885 0.002544 1.775215 0.094739 0.073211 671 0 365 "non polar" -0.075767 0.018781 8.049736 0 0 0.0041 0.0027 0 0 12.099805 405.640381 73 83 30 332 260 0.69721 0.0044 0.0052 0 0.0031 0 0.0041 0.0027 0 0 0 0.0134 0.0017 0 0 0.0287 0.0011 6e-04 0 0.0166 0.0166 0.0256 0.0394 0.065 0 0.0032
