Sample	Nb_read	Total_read	relative_abundance	Sample_bis
100DCM0CCKK11	434434	170541918	0.254737371958019	100DCM0CCKK
100DCM1GGMM11	3726642	176557600	2.11072307281023	100DCM1GGMM
100DCM1GGZZ11	2397351	181845917	1.31834194550544	100DCM1GGZZ
100SUR0CCKK11	453223	186567128	0.242927575108515	100SUR0CCKK
100SUR1GGMM11	1797110	199994702	0.898578803352501	100SUR1GGMM
100SUR1GGZZ11	1675070	177898581	0.941587049533577	100SUR1GGZZ
102DCM0CCKK11	1003190	204588052	0.490346327751339	102DCM0CCKK
102DCM1GGMM11	7459631	182855949	4.0795123378786	102DCM1GGMM
102DCM1GGZZ11	5041546	183144311	2.75277237522273	102DCM1GGZZ
102SUR0CCKK11	1255803	168946455	0.743314205675402	102SUR0CCKK
102SUR1GGMM11	4180797	162944554	2.56577890906375	102SUR1GGMM
102SUR1GGZZ11	3133987	174883910	1.79203850142646	102SUR1GGZZ
106DCM1GGMM11	6070240	153951136	3.94296538350974	106DCM1GGMM
106DCM1GGZZ11	3633929	161221161	2.25400250032935	106DCM1GGZZ
106SUR1GGMM11	5256601	169291014	3.10506793940049	106SUR1GGMM
106SUR1GGZZ11	3652406	158540363	2.30377042848073	106SUR1GGZZ
109DCM0CCKK11	2148163	170004329	1.26359311709057	109DCM0CCKK
109DCM1GGMM11	5539009	164940765	3.35818073840024	109DCM1GGMM
109DCM1GGZZ11	3012002	169958188	1.77220176058832	109DCM1GGZZ
109SUR0CCKK11	843926	186059482	0.453578603427478	109SUR0CCKK
109SUR1GGMM11	3816206	179636593	2.12440346160428	109SUR1GGMM
109SUR1GGZZ11	3057177	190088552	1.60829096115162	109SUR1GGZZ
10DCM1GGMM11	2894494	174032490	1.66319174080656	10DCM1GGMM
10SUR1GGMM11	78069	186435150	0.041874614309587	10SUR1GGMM
110DCM0CCKK11	3715233	211750391	1.75453418643274	110DCM0CCKK
110DCM1GGMM11	6305672	192455425	3.27643245182618	110DCM1GGMM
110DCM1GGZZ11	3908827	165888939	2.35629151862862	110DCM1GGZZ
110SUR0CCKK11	2446804	160898544	1.52071233161687	110SUR0CCKK
110SUR1GGMM11	6231541	166255865	3.74816310991495	110SUR1GGMM
110SUR1GGZZ11	5778033	181604360	3.18165984561164	110SUR1GGZZ
111DCM0CCKK11	1444279	187063957	0.77207764828796	111DCM0CCKK
111DCM1GGMM11	7523794	197871626	3.80236123394468	111DCM1GGMM
111DCM1GGZZ11	4273088	194976417	2.19159222727947	111DCM1GGZZ
111SUR0CCKK11	2055258	190182767	1.08067520123945	111SUR0CCKK
111SUR1GGMM11	1837421	166865949	1.10113597831754	111SUR1GGMM
111SUR1GGZZ11	2109593	205131797	1.02840857968012	111SUR1GGZZ
112DCM0CCKK11	2050521	206479674	0.99308612817744	112DCM0CCKK
112DCM1GGMM11	6612163	195015074	3.39059071915641	112DCM1GGMM
112SUR0CCKK11	179815	199504187	0.0901309404599112	112SUR0CCKK
112SUR1GGMM11	242286	193025139	0.125520438039938	112SUR1GGMM
113SUR1GGMM11	6687926	201784181	3.31439559179319	113SUR1GGMM
113SUR1GGZZ11	4612287	158197038	2.91553309613799	113SUR1GGZZ
114SUR1GGZZ11	3181893	174700787	1.82133867548061	114SUR1GGZZ
115SUR1GGZZ11	2778866	153203652	1.81383796255718	115SUR1GGZZ
116SUR1GGZZ11	3986702	185198818	2.15266060715355	116SUR1GGZZ
117SUR1GGZZ11	1236008	174542878	0.708140036512977	117SUR1GGZZ
118SUR1GGZZ11	1176584	211528432	0.556229717620183	118SUR1GGZZ
119SUR1GGZZ11	821304	126059974	0.651518458983658	119SUR1GGZZ
11SUR01GGZZ11	114959	175483313	0.0655099325597984	11SUR01GGZZ
120SUR2GGZZ11	1415702	235959653	0.599976301880729	120SUR2GGZZ
