time	axcyaR1	axcyaR2	axcyaR3	xcyaR1	xcyaR2	xcyaR3	xstdR1	xstdR2	xstdR3
0	403760	455850	465180	465180	445760	434350	586040	314700	441930
3	59410	39130	71810	85160	89720	83820	228570	104940	155210
4	42090	62600	70250	466040	419380	447030	506460	460420	214590
5	51170	76650	69800	708030	684940	491340	752490	799020	237950
6	73580	98660	70110	897420	986570	960660	1121790	1223550	372900
7	105600	137150	109860	1393270	1450040	1310230	1684050	1877390	583670
10	263520	274750	258450	3764830	4188550	4056110	5204800	5550870	1511730
11	255980	277430	263980	4850230	4868930	4937540	7001230	7392950	2278360
12	275290	301610	310200	5542380	5586540	5924320	10901280	11211880	3271840
13	293130	325650	333250	5997060	6062430	6149580	12889000	14671550	4984400
14	321820	362610	382040	6274590	6450660	6299910	15609120	16720980	6964980
17	105590	333620	448000	7602600	9344700	8292800	24693300	27789800	11488080
18	72950	444080	332990	8996970	8317650	9276780	24908670	26983920	16537680
19	119140	485640	504010	10709200	9552650	10700850	32267250	34085450	22176750
20	136010	259390	324150	10478230	10472350	9801330	35076230	41828010	28013580
21	225410	663770	663920	12423800	11248450	13599100	45135600	49458600	33978400
24	238330	684930	674530	13013750	15302050	10526900	47710000	49125200	50502700
25	389690	805880	822810	14244700	15655000	12849050	56339700	55790400	53237500
26	433270	831710	710880	14855930	12662880	13174630	54771050	56069630	58105820
