Strain	Condition	Day	Replicate	Fluorescence
RCC697	220	3	2	2728
RCC697	220	4	1	3269
RCC697	220	3	1	3492
RCC697	220	4	2	3526
RCC697	882	3	1	3765
RCC697	110	1	3	3930
RCC697	220	3	3	4010
RCC697	110	1	2	4230
RCC697	110	1	1	4374
RCC697	441	3	3	4378
RCC697	441	3	2	4425
RCC697	220	4	3	4851
RCC697	882	3	2	5325
RCC697	220	0	2	5559
RCC697	441	3	1	5647
RCC697	110	2	3	5660
RCC697	110	0	3	5859
RCC697	220	5	2	5904
RCC697	220	0	1	5944
RCC697	110	0	2	6160
RCC697	110	2	2	6188
RCC697	220	0	3	6240
RCC697	110	2	1	6343
RCC697	110	0	1	6423
RCC697	441	4	3	6707
RCC697	220	5	1	7066
RCC697	441	4	2	7583
RCC697	50	0	1	8548
RCC697	50	0	3	8729
RCC697	220	5	3	8925
RCC697	50	0	2	9322
RCC697	882	3	3	9406
RCC697	441	4	1	9891
RCC697	50	1	2	10029
RCC697	50	1	1	10352
RCC697	220	6	2	10363
RCC697	882	4	1	10842
RCC697	110	3	3	11006
RCC697	50	1	3	11081
RCC697	220	6	1	12232
RCC697	220	6	3	12499
RCC697	441	5	1	12527
RCC697	110	3	2	13132
RCC697	441	5	2	13324
RCC697	441	0	1	13463
RCC697	441	0	3	13787
RCC697	110	3	1	13840
RCC697	441	5	3	13927
RCC697	882	0	3	14039
RCC697	441	0	2	14268
RCC697	882	0	1	14716
RCC697	882	0	2	14741
RCC697	882	4	2	15028
RCC697	220	7	2	15301
RCC697	882	4	3	15425
RCC697	220	7	1	19939
RCC697	110	4	2	21284
RCC697	110	4	3	21935
RCC697	50	2	3	22273
RCC697	50	2	1	23572
RCC697	441	6	1	23813
RCC697	50	2	2	23924
RCC697	110	4	1	24101
RCC697	441	6	2	24772
RCC697	220	7	3	25258
RCC697	441	6	3	29059
RCC697	882	5	1	29663
RCC697	441	7	2	35390
RCC697	441	7	1	36031
RCC697	882	5	2	39004
RCC697	882	5	3	40161
RCC100	220	1	1	41534
RCC100	220	1	3	44423
RCC697	50	4	1	44759
RCC100	220	1	2	48243
RCC697	50	4	2	48366
RCC697	441	7	3	56506
RCC100	220	2	1	58397
RCC100	220	2	3	63684
RCC100	220	2	2	64789
RCC697	50	4	3	67806
RCC697	882	6	1	72939
RCC100	441	1	2	86786
RCC697	882	6	3	89933
RCC697	882	6	2	91902
RCC100	441	1	3	95492
RCC100	882	1	2	111369
RCC100	882	1	1	112843
RCC100	441	1	1	116352
RCC100	882	1	3	119832
RCC100	220	3	1	125964
RCC100	220	3	2	133685
RCC697	110	8	2	148692
RCC697	882	7	1	174055
RCC697	110	8	1	175673
RCC100	220	4	1	176070
RCC697	882	7	3	177946
RCC697	882	7	2	187211
RCC100	220	4	2	197924
RCC100	882	2	1	201517
RCC100	220	4	3	215426
RCC100	220	3	3	224258
RCC100	882	2	2	240208
RCC100	882	2	3	243600
RCC697	110	8	3	257567
RCC697	220	11	2	270513
RCC100	441	4	2	369152
RCC100	882	5	1	371109
RCC100	441	4	1	372393
RCC100	441	4	3	373304
RCC697	220	11	1	405326
RCC100	882	5	2	414615
RCC697	220	11	3	419760
RCC100	882	5	3	433531
RCC100	220	7	1	460770
RCC100	220	7	2	464821
RCC100	220	8	1	474235
RCC100	882	6	1	495000
RCC100	882	6	3	506380
RCC100	882	6	2	530930
RCC100	220	8	3	546848
RCC697	441	11	2	568561
RCC100	220	8	2	571198
RCC100	441	5	3	571593
RCC100	441	5	2	588536
RCC100	220	7	3	607356
RCC100	441	5	1	612340
RCC697	441	11	1	629504
RCC100	882	7	1	762583
RCC697	441	11	3	775675
RCC100	882	7	2	785089
RCC100	882	7	3	829696
RCC100	441	6	1	864446
RCC100	441	6	2	900428
RCC100	441	6	3	900547
RCC100	882	8	3	1095404
RCC100	882	8	1	1104104
RCC100	882	8	2	1126663
RCC100	882	9	3	1269059
RCC100	882	9	1	1305679
RCC100	882	9	2	1346782
